Serial Number,Value
1,0.7339620300285395
2,0.7850849981387269
3,0.7624395086238988
4,0.7893659262935848
5,0.7777639905695496
6,0.7934607271373619
7,0.7865119741903462
8,0.7938950241965504
9,0.7902345204119617
10,0.7936468544484427
11,0.7915994540265542
12,0.7953220002481698
13,0.794329321255739
14,0.794267278818712
15,0.793398684700335
16,0.7946395334408736
17,0.794205236381685
18,0.795135872937089
19,0.7952599578111428
20,0.7958183397443852
21,0.795942424618439
22,0.7961905943665467
23,0.7962526368035736
24,0.7957562973073582
25,0.7970591884849237
26,0.7969971460478967
27,0.7978657401662738
28,0.796748976299789
29,0.7973694006700583
